Date,Close,TotalValue,Cash,Holdings
2024-01-02,90.0047,100000,100000,0
2024-01-03,88.8173,100000,100000,0
2024-01-04,87.0362,100000,100000,0
2024-01-05,87.6299,100000,100000,0
2024-01-08,86.4425,100000,100000,0
2024-01-09,85.9675,100000,100000,0
2024-01-10,84.4239,100000,100000,0
2024-01-11,84.5426,100000,100000,0
2024-01-12,84.3052,100000,100000,0
2024-01-15,85.0176,100000,19.3012,1176
2024-01-16,85.4926,100559,19.3012,1176
2024-01-17,83.9489,98743.3,98743.3,0
2024-01-18,84.3052,98743.3,98743.3,0
2024-01-19,83.9489,98743.3,98743.3,0
2024-01-22,83.7115,98743.3,98743.3,0
2024-01-23,85.0176,98743.3,37.8247,1161
2024-01-24,84.0677,97640.4,97640.4,0
2024-01-25,83.5927,97640.4,97640.4,0
2024-01-26,81.5742,97640.4,97640.4,0
2024-01-29,80.8617,97640.4,97640.4,0
2024-01-30,79.7931,97640.4,97640.4,0
2024-01-31,79.0806,97640.4,97640.4,0
2024-02-01,78.4869,97640.4,97640.4,0
2024-02-02,78.8431,97640.4,97640.4,0
2024-02-05,77.1808,97640.4,97640.4,0
2024-02-15,78.1307,97640.4,97640.4,0
2024-02-16,80.0305,97640.4,3.15152,1220
2024-02-19,80.5055,98219.9,3.15152,1220
2024-02-20,79.3181,96771.2,3.15152,1220
2024-02-21,78.9619,96336.6,96336.6,0
2024-02-22,79.1994,96336.6,96336.6,0
2024-02-23,80.3868,96336.6,33.3054,1198
2024-02-26,79.5556,95340.9,33.3054,1198
2024-02-27,77.6557,93064.9,93064.9,0
2024-02-29,76.9433,93064.9,93064.9,0
2024-03-01,77.6557,93064.9,93064.9,0
2024-03-04,83.1178,93064.9,56.0988,1119
2024-03-05,81.4554,91204.7,56.0988,1119
2024-03-06,81.2179,90939,56.0988,1119
2024-03-07,78.6057,88015.8,88015.8,0
2024-03-08,76.9433,88015.8,88015.8,0
2024-03-11,77.537,88015.8,88015.8,0
2024-03-12,81.5742,88015.8,78.898,1078
2024-03-13,79.7931,86095.8,78.898,1078
2024-03-14,77.8932,84047.8,84047.8,0
2024-03-15,78.4869,84047.8,84047.8,0
2024-03-18,78.012,84047.8,84047.8,0
2024-03-19,77.4183,84047.8,84047.8,0
2024-03-20,76.2309,84047.8,84047.8,0
2024-03-21,77.6557,84047.8,24.2787,1082
2024-03-22,80.268,86874.3,24.2787,1082
2024-03-25,79.1994,85718,24.2787,1082
2024-03-26,77.4183,83790.8,83790.8,0
2024-03-27,79.7931,83790.8,8.1375,1050
2024-03-28,82.7616,86907.8,8.1375,1050
2024-03-29,80.9805,85037.6,8.1375,1050
2024-04-01,79.9118,83915.5,83915.5,0
2024-04-02,79.1994,83915.5,83915.5,0
2024-04-03,78.2494,83915.5,83915.5,0
2024-04-08,80.0305,83915.5,43.5255,1048
2024-04-09,80.1493,84040,43.5255,1048
2024-04-10,82.0491,86031,43.5255,1048
2024-04-11,78.8431,82671.1,82671.1,0
2024-04-12,78.4869,82671.1,82671.1,0
2024-04-15,77.6557,82671.1,82671.1,0
2024-04-16,74.331,82671.1,82671.1,0
2024-04-17,74.6872,82671.1,82671.1,0
2024-04-18,73.4999,82671.1,82671.1,0
2024-04-19,72.1937,82671.1,82671.1,0
2024-04-22,71.1251,82671.1,82671.1,0
2024-04-23,71.2438,82671.1,82671.1,0
2024-04-24,72.6687,82671.1,46.8486,1137
2024-04-25,71.8375,81726.1,46.8486,1137
2024-04-26,71.8375,81726.1,46.8486,1137
2024-04-29,72.3125,82266.1,46.8486,1137
2024-04-30,75.7559,86181.3,46.8486,1137
2024-05-02,74.2123,84426.2,46.8486,1137
2024-05-03,73.6186,83751.2,46.8486,1137
2024-05-06,73.4999,83616.2,83616.2,0
2024-05-07,73.4999,83616.2,83616.2,0
2024-05-08,72.6687,83616.2,83616.2,0
2024-05-09,71.7188,83616.2,83616.2,0
2024-05-10,71.6,83616.2,83616.2,0
2024-05-13,71.3625,83616.2,83616.2,0
2024-05-14,72.1937,83616.2,15.8584,1158
2024-05-15,71.3625,82653.7,82653.7,0
2024-05-16,71.7188,82653.7,33.6723,1152
2024-05-17,72.3125,83337.6,33.6723,1152
2024-05-20,75.281,86757.3,33.6723,1152
2024-05-21,75.281,86757.3,33.6723,1152
2024-05-22,80.0305,92228.8,33.6723,1152
2024-05-23,77.4183,89219.5,33.6723,1152
2024-05-24,78.7244,90724.2,33.6723,1152
2024-05-27,79.0806,91134.5,33.6723,1152
2024-05-28,78.7244,90724.2,90724.2,0
2024-05-29,80.3868,90724.2,47.9145,1128
2024-05-30,77.6557,87643.6,87643.6,0
2024-05-31,76.8246,87643.6,87643.6,0
2024-06-03,75.9934,87643.6,87643.6,0
2024-06-04,75.281,87643.6,87643.6,0
2024-06-05,75.3997,87643.6,87643.6,0
2024-06-06,73.4999,87643.6,87643.6,0
2024-06-07,74.331,87643.6,87643.6,0
2024-06-11,73.2624,87643.6,87643.6,0
2024-06-12,72.6687,87643.6,87643.6,0
2024-06-13,72.6687,87643.6,87643.6,0
2024-06-14,79.9118,87643.6,60.2588,1096
2024-06-17,80.3868,88164.1,60.2588,1096
2024-06-18,80.5055,88294.3,60.2588,1096
2024-06-19,78.3682,85951.8,85951.8,0
2024-06-20,79.6743,85951.8,85951.8,0
2024-06-21,82.999,85951.8,47.7941,1035
2024-06-24,79.3181,82142,82142,0
2024-06-25,78.6057,82142,82142,0
2024-06-26,77.1808,82142,82142,0
2024-06-27,76.9433,82142,82142,0
2024-06-28,76.9433,82142,82142,0
2024-07-01,76.4683,82142,82142,0
2024-07-02,77.4183,82142,1.24704,1061
2024-07-03,78.012,82771.9,1.24704,1061
2024-07-04,79.4368,84283.7,1.24704,1061
2024-07-05,79.3181,84157.8,1.24704,1061
2024-07-08,80.1493,85039.6,1.24704,1061
2024-07-09,76.8246,81512.1,81512.1,0
2024-07-10,78.012,81512.1,81512.1,0
2024-07-11,77.4183,81512.1,81512.1,0
2024-07-12,77.537,81512.1,81512.1,0
2024-07-15,75.8746,81512.1,81512.1,0
2024-07-16,76.1121,81512.1,81512.1,0
2024-07-17,78.8431,81512.1,67.1441,1033
2024-07-18,77.6557,80285.5,67.1441,1033
2024-07-19,74.806,77341.7,77341.7,0
2024-07-22,73.6186,77341.7,77341.7,0
2024-07-23,73.8561,77341.7,77341.7,0
2024-07-26,72.4312,77341.7,77341.7,0
2024-07-29,71.4813,77341.7,77341.7,0
2024-07-30,72.6687,77341.7,77341.7,0
2024-07-31,72.5499,77341.7,77341.7,0
2024-08-01,73.6186,77341.7,42.2131,1050
2024-08-02,71.6,75222.2,75222.2,0
2024-08-05,64.4756,75222.2,75222.2,0
2024-08-06,62.6945,75222.2,75222.2,0
2024-08-07,65.3068,75222.2,75222.2,0
2024-08-08,63.6445,75222.2,75222.2,0
2024-08-09,63.6445,75222.2,75222.2,0
2024-08-12,64.5944,75222.2,34.3824,1164
2024-08-13,64.1194,74669.4,74669.4,0
2024-08-14,64.0007,74669.4,74669.4,0
2024-08-15,63.7632,74669.4,74669.4,0
2024-08-16,64.1194,74669.4,34.3824,1164
2024-08-19,63.8819,74393,74393,0
2024-08-20,64.2382,74393,5.17538,1158
2024-08-21,64.3569,74530.5,5.17538,1158
2024-08-22,64.1194,74255.5,74255.5,0
2024-08-23,65.3068,74255.5,1.61721,1137
2024-08-26,65.5443,74525.5,1.61721,1137
2024-08-27,65.5443,74525.5,1.61721,1137
2024-08-28,72.075,81950.9,1.61721,1137
2024-08-29,76.5871,87081.1,1.61721,1137
2024-08-30,74.6872,84921,1.61721,1137
2024-09-02,73.0249,83030.9,1.61721,1137
2024-09-03,71.7188,81545.8,81545.8,0
2024-09-04,68.869,81545.8,81545.8,0
2024-09-05,68.869,81545.8,81545.8,0
2024-09-06,68.3941,81545.8,81545.8,0
2024-09-09,67.3254,81545.8,81545.8,0
2024-09-10,67.0879,81545.8,81545.8,0
2024-09-11,65.5443,81545.8,81545.8,0
2024-09-12,66.2567,81545.8,81545.8,0
2024-09-13,72.6687,81545.8,11.5876,1122
2024-09-16,72.7874,81679.1,11.5876,1122
2024-09-18,70.5314,79147.8,11.5876,1122
2024-09-19,70.7688,79414.2,11.5876,1122
2024-09-20,70.7688,79414.2,79414.2,0
2024-09-23,70.2939,79414.2,79414.2,0
2024-09-24,70.6501,79414.2,3.51805,1124
2024-09-25,70.8876,79681.2,3.51805,1124
2024-09-26,70.8876,79681.2,3.51805,1124
2024-09-27,71.2438,80081.5,3.51805,1124
2024-09-30,71.1251,79948.1,3.51805,1124
2024-10-01,70.1751,78880.4,78880.4,0
2024-10-04,69.1065,78880.4,78880.4,0
2024-10-07,70.0564,78880.4,78880.4,0
2024-10-08,69.344,78880.4,78880.4,0
2024-10-09,68.1566,78880.4,78880.4,0
2024-10-11,68.5128,78880.4,78880.4,0
2024-10-14,69.8189,78880.4,54.8107,1129
2024-10-15,69.5814,78612.3,54.8107,1129
2024-10-16,71.6,80891.2,54.8107,1129
2024-10-17,70.7688,79952.8,54.8107,1129
2024-10-18,70.0564,79148.5,79148.5,0
2024-10-21,70.8876,79148.5,37.9507,1116
2024-10-22,70.2939,78485.9,78485.9,0
2024-10-23,72.075,78485.9,68.3455,1088
2024-10-24,70.2939,76548.1,76548.1,0
2024-10-25,71.0063,76548.1,3.27346,1078
2024-10-28,69.7002,75140.1,75140.1,0
2024-10-29,68.7503,75140.1,75140.1,0
2024-10-30,68.5128,75140.1,75140.1,0
2024-11-01,69.344,75140.1,75140.1,0
2024-11-04,70.0564,75140.1,39.6106,1072
2024-11-05,77.062,82650.1,39.6106,1072
2024-11-06,75.6372,81122.7,39.6106,1072
2024-11-07,82.999,89014.6,39.6106,1072
2024-11-08,84.3052,90414.7,39.6106,1072
2024-11-11,80.6242,86468.8,39.6106,1072
2024-11-12,77.062,82650.1,82650.1,0
2024-11-13,76.4683,82650.1,82650.1,0
2024-11-14,73.4999,82650.1,82650.1,0
2024-11-15,74.4498,82650.1,82650.1,0
2024-11-18,71.7188,82650.1,82650.1,0
2024-11-19,74.331,82650.1,68.3435,1111
2024-11-20,72.4312,80539.4,80539.4,0
2024-11-21,72.7874,80539.4,80539.4,0
2024-11-22,73.0249,80539.4,65.9707,1102
2024-11-25,76.4683,84334.1,65.9707,1102
2024-11-26,74.9247,82633,65.9707,1102
2024-11-27,74.6872,82371.3,65.9707,1102
2024-11-28,73.3811,80932,80932,0
2024-11-29,74.331,80932,80932,0
2024-12-02,73.2624,80932,80932,0
2024-12-03,74.806,80932,66.6777,1081
2024-12-04,73.2624,79263.3,79263.3,0
2024-12-05,73.0249,79263.3,79263.3,0
2024-12-06,72.1937,79263.3,79263.3,0
2024-12-09,72.1937,79263.3,79263.3,0
2024-12-10,71.3625,79263.3,79263.3,0
2024-12-11,72.6687,79263.3,54.4456,1090
2024-12-12,71.7188,78227.9,78227.9,0
2024-12-13,71.9562,78227.9,78227.9,0
2024-12-16,77.8932,78227.9,23.0995,1004
2024-12-17,75.281,75605.2,23.0995,1004
